target,id,date,flag,user,text
4,2001211600,Tue Jun 02 00:10:19 PDT 2009,NO_QUERY,MidnightRyder,"@JodeeDunkel Hehehe - that's always what my life is like   And I kinda like it that way, with the exception of a few facets of my life"
4,1833755360,Mon May 18 00:20:42 PDT 2009,NO_QUERY,Yeeekirstielee,@Briitt_x Aw yeaaaaaa my legs kill to maaan 
4,2176958493,Mon Jun 15 05:08:35 PDT 2009,NO_QUERY,Gemtastic,"is battered, bruised, broken and generally in need of a hol. Good thing it's Greece on Wednesday. Hello 5* luxury. "
4,1961213550,Fri May 29 09:09:22 PDT 2009,NO_QUERY,hnprashanth,"@9_6 maga, confirmed  tweeps for #BowlingTweetup @tsuvik @santoshp @daaku @dkris. More than enough "
4,2011504636,Tue Jun 02 19:07:27 PDT 2009,NO_QUERY,PLANETJ,Work is busy!!  It's stressful!! But I still love the craziness about it!  Today we spent time listening to people audition for a new ad!
4,2072445058,Sun Jun 07 21:02:19 PDT 2009,NO_QUERY,SillyMickey9894,@regina2594 sure in like half an hr; i wanna take a shower and then wear my cute new pants to bed 
4,1882955813,Fri May 22 07:46:13 PDT 2009,NO_QUERY,sadekhm,@donchad Thx For #FollowFriday 
4,2180697964,Mon Jun 15 10:49:21 PDT 2009,NO_QUERY,Tamwood38,@OtaliaRocks  hey what about me? Ah nvm. 
4,1573404453,Tue Apr 21 01:00:52 PDT 2009,NO_QUERY,nicolaquinn,@manxmidge Think yesterday it was more volume and those dancing disco tunes in my head 
4,2002045029,Tue Jun 02 02:57:41 PDT 2009,NO_QUERY,ravegabe,"@TonniePodRobot Oh okay  Hehe. It has a Wii version too, that's all  Enjoy! "
4,2014169966,Wed Jun 03 00:40:15 PDT 2009,NO_QUERY,Crazy4Clay001,@thekatvond Glad you made home safe Kat!  Are new episodes of LA Ink airing yet?! You ROCK! -Much Love-Tonya
4,1827031771,Sun May 17 09:50:48 PDT 2009,NO_QUERY,nanavette,"@qclindalou Haha, that only helps if anything.  Thanks."
4,2071263830,Sun Jun 07 19:06:31 PDT 2009,NO_QUERY,BFFLforlife,"N: LOL, ALEX! 'Why is my Bebo in Spanish .. I'M NOT SPANISH, I'M ASIAN.' No shit, Sherlock "
4,2191617485,Tue Jun 16 05:38:37 PDT 2009,NO_QUERY,neilcreek,"@adamthemiller If you haven't already, try smugmug   http://bit.ly/jIlyf"
4,2032188952,Thu Jun 04 10:54:04 PDT 2009,NO_QUERY,SilviaOlivares,I came back home ... I miss you home .. 
4,2003128554,Tue Jun 02 05:56:16 PDT 2009,NO_QUERY,flagles,@rizen1020 good luck tomorrow... get some sleep tonight 
4,1833859820,Mon May 18 00:42:57 PDT 2009,NO_QUERY,ciaracoco,"@oceanup haha i know hoe that feels! cool, well I'm glad it's all sorted  must've been crazy!"
4,2053013252,Sat Jun 06 02:55:43 PDT 2009,NO_QUERY,Mandeeezy,Quite the day today.  Tiring Hectic but was overall fun  Nighty!
4,1827078290,Sun May 17 09:56:53 PDT 2009,NO_QUERY,iEgg,@angieleah just got home and it was flawless 
4,2001424057,Tue Jun 02 00:50:24 PDT 2009,NO_QUERY,hockeymandave,"@tinylittlerocks what?! will ferrell is the man!  and from irvine, gotta rep it "
4,2071709681,Sun Jun 07 19:48:29 PDT 2009,NO_QUERY,DWTusen,Wow  #Magic &amp; #Lakers in overtime... What a game!
4,1469447876,Tue Apr 07 06:24:44 PDT 2009,NO_QUERY,thebostonshaker,"@cakeandcommerce it was one of Hugh's at Eastern Standard, but it's definitely one I'll be planning on making myself in the future "
4,1691900561,Sun May 03 18:51:07 PDT 2009,NO_QUERY,xylonalyn,I just made ice cream! 
4,1564301122,Mon Apr 20 02:48:48 PDT 2009,NO_QUERY,bellmcneill,@shaundiviney i love how positive you are haha 
4,1754880599,Sun May 10 07:39:14 PDT 2009,NO_QUERY,keza34,@ComedyQueen tweet you later #TwitterTakeover #TwitterTakeover #TwitterTakeover #TwitterTakeover #TwitterTakeover #twitterTakeover lol 
4,2055902846,Sat Jun 06 10:09:52 PDT 2009,NO_QUERY,CrzyBeautiful,Enjoying my first Saturday morning at home in like 4 months 
4,2051251690,Fri Jun 05 21:20:26 PDT 2009,NO_QUERY,JDWRIGHT25,@kpmuse01 yes we must do that again sweet breesey dreams to you too 
4,1793243288,Thu May 14 01:56:12 PDT 2009,NO_QUERY,shorty301,@DonnieWahlberg have a fantastic cruise i wish i was with you all 2 show you a good time uk style baby 
4,1678633856,Sat May 02 07:18:03 PDT 2009,NO_QUERY,ukgeekchick,Considering entering a logo design competition http://tinyurl.com/cp67y4 never have been very artisitc but could do with the money 
4,2044896663,Fri Jun 05 09:57:46 PDT 2009,NO_QUERY,sheiladderr,#FF @tagorham for great tips on jewelry making and because yesterday was her birthday!  
4,1975359667,Sat May 30 14:59:45 PDT 2009,NO_QUERY,nonfictions,@nicolerichie http://twitpic.com/6a8zx - OMG. That is the cutest cat ever 
4,2046838959,Fri Jun 05 12:46:02 PDT 2009,NO_QUERY,Impala_Guy,@19fischi75 http://twitpic.com/6orc8 - ha ha ha - thats brilliant - LMAO! 
4,1994228550,Mon Jun 01 11:36:42 PDT 2009,NO_QUERY,JoannaLord,@katemorris hey can u shoot it in email attachment 
4,1956874905,Thu May 28 22:54:56 PDT 2009,NO_QUERY,esmeg,@nealholyfield Hope you're getting your drink on 
4,1977259323,Sat May 30 20:31:05 PDT 2009,NO_QUERY,g1yph,@Rache125 once your weekend of awesome is over you otta get in touch so we can find times to chill 
4,2018882021,Wed Jun 03 10:39:30 PDT 2009,NO_QUERY,imnangl,@ColorblindFish! I LOVE IT! Thank you! You guys seriously kick trash!! No other group would be so awesome! We're so lucky!  Andrea
4,1794231948,Thu May 14 05:18:38 PDT 2009,NO_QUERY,anniexlove,"@mandyyjirouxx http://twitpic.com/54gz3 - wait, i really like them!.. so cute "
4,1556942983,Sun Apr 19 01:08:25 PDT 2009,NO_QUERY,Jordanp81,This is why I can't go to sleep early LOL I wake up to damm early writting shit here. Good morning Twitt's 
4,1679803166,Sat May 02 10:12:56 PDT 2009,NO_QUERY,supermer,And kaden Just got back from a beautiful walk on part of the trinity trail with my neighbor and her dogs.  now to relax a bit!
4,2015387324,Wed Jun 03 04:31:41 PDT 2009,NO_QUERY,NanaEra,is chillin' with da family..  good to be back.. really..? hehehe..
4,2014998481,Wed Jun 03 03:22:53 PDT 2009,NO_QUERY,YvetteObeney,@ch_ris1977 How are you stranger? You haven't tweeded 4 ages. Well it seems like it. 
4,1962205143,Fri May 29 10:41:11 PDT 2009,NO_QUERY,KristineeeNFS,Just finished bio test. Yay 
4,2054334922,Sat Jun 06 07:07:20 PDT 2009,NO_QUERY,katyresop,@nickwelsh02 Good luck with the unpacking! I'm glad you guys made it safely! 
4,2174505091,Sun Jun 14 22:41:41 PDT 2009,NO_QUERY,iluvms,gabbi... helloo.. went out sat night. u shoulda come man 
4,2175989227,Mon Jun 15 02:35:23 PDT 2009,NO_QUERY,cameronstewart,"@frombecca all my &quot;favorites&quot; keep getting eliminated, wouldn't pay any attention to what I am saying on the topic "
4,1573930140,Tue Apr 21 03:31:22 PDT 2009,NO_QUERY,BetsyAnnMas,@emiliemisset like you're gonna get in a fight at dash... Lmfaooo!  2 for 2! So who we going after today?
4,1975692320,Sat May 30 15:41:50 PDT 2009,NO_QUERY,JKWleadership,Looking forward to joining Zane Safrit on BlogTalkRadio June 10th - http://tobtr.com/s/551348 - Save the date Tweeple.  
4,2011438225,Tue Jun 02 19:01:25 PDT 2009,NO_QUERY,keliskontagious,is watching crossroads with jessi 
4,1470128937,Tue Apr 07 08:26:04 PDT 2009,NO_QUERY,gk_minusalltop,@hdm42 use twitter less and you'll never know. 
4,1979429937,Sun May 31 03:00:44 PDT 2009,NO_QUERY,AntaraHaddad,I Got To The Cinema with Maiely and Vinc   
